latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.94264,64.1442,305.9,0.39,0.59,2017-12-01,2213,N,VIIRS,n,1,275.3,1.2,
33.76704,70.33032,315.2,0.72,0.75,2017-12-01,2212,N,VIIRS,n,1,277.7,3.2,
38.79974,64.64509,320.2,0.54,0.51,2017-12-01,2211,N,VIIRS,n,1,272,2.3,
12.98457,74.85178,305.5,0.39,0.36,2017-12-01,2037,N,VIIRS,n,1,284.4,1.5,
13.16106,80.28531,337.2,0.47,0.48,2017-12-01,2037,N,VIIRS,n,1,278,4.9,
14.62569,75.83141,303.8,0.4,0.37,2017-12-01,2037,N,VIIRS,n,1,286.3,0.5,
15.09222,75.91351,313.7,0.4,0.37,2017-12-01,2037,N,VIIRS,n,1,285.7,1.4,
15.1688,76.37869,302.3,0.42,0.37,2017-12-01,2037,N,VIIRS,n,1,282.4,0.7,
15.13774,76.71426,301.6,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,290,0.6,
15.1384,76.71032,305.2,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,290.1,0.6,
15.1488,76.71217,301.7,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,290,0.3,
15.16985,76.67129,304.5,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,289.8,0.9,
15.1705,76.66735,304,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,290.9,0.9,
15.17245,76.65556,302.7,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,289.9,0.9,
15.1731,76.65161,314.1,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,290.6,0.9,
15.17135,76.68372,305.7,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,290.1,0.9,
15.17591,76.65618,316.2,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,291.5,1.5,
15.17656,76.65225,302.1,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,289.2,1.5,
15.17794,76.65551,310,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,290.2,2,
15.18352,76.66463,301.8,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,289.4,1.1,
15.18831,76.65739,311.6,0.42,0.38,2017-12-01,2037,N,VIIRS,n,1,291.9,2.1,
15.22366,76.76532,303.9,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,289.1,1,
15.22433,76.76137,300,0.43,0.38,2017-12-01,2037,N,VIIRS,n,1,289,0.9,
15.73131,74.58065,299.1,0.38,0.36,2017-12-01,2037,N,VIIRS,n,1,285.8,0.4,
15.95403,75.09946,338.5,0.39,0.36,2017-12-01,2037,N,VIIRS,n,1,283.5,5.4,
21.36636,81.67731,298.5,0.42,0.45,2017-12-01,2035,N,VIIRS,n,1,278.4,0.7,
21.37741,81.64253,297.8,0.41,0.45,2017-12-01,2035,N,VIIRS,n,1,281.1,1.1,
21.37869,81.68009,299.5,0.42,0.45,2017-12-01,2035,N,VIIRS,n,1,279.4,1.1,
21.38972,81.64526,301.4,0.41,0.45,2017-12-01,2035,N,VIIRS,n,1,281.2,1.4,
20.53391,85.91513,300.8,0.4,0.6,2017-12-01,2035,N,VIIRS,n,1,288.4,0.6,
23.21229,70.28151,295.5,0.42,0.45,2017-12-01,2035,N,VIIRS,n,1,280.7,0.5,
